TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION
Canary Islands	02/2021	Personas beneficiarias	181165			
Canary Islands	02/2021	Tasa de cobertura de la prestación de desempleo	69.8			
Canary Islands	02/2021	Paro resgistrado con experiencia laboral	259688			
Las Palmas	02/2021	Personas beneficiarias	96816			
Las Palmas	02/2021	Tasa de cobertura de la prestación de desempleo	71.6			
Las Palmas	02/2021	Paro resgistrado con experiencia laboral	135133			
Santa Cruz de Tenerife	02/2021	Personas beneficiarias	84349			
Santa Cruz de Tenerife	02/2021	Tasa de cobertura de la prestación de desempleo	67.7			
Santa Cruz de Tenerife	02/2021	Paro resgistrado con experiencia laboral	124555			
Canary Islands	01/2021	Personas beneficiarias	185420			
Canary Islands	01/2021	Tasa de cobertura de la prestación de desempleo	72.5			
Canary Islands	01/2021	Paro resgistrado con experiencia laboral	255701			
Las Palmas	01/2021	Personas beneficiarias	98263			
Las Palmas	01/2021	Tasa de cobertura de la prestación de desempleo	74.1			
Las Palmas	01/2021	Paro resgistrado con experiencia laboral	132554			
Santa Cruz de Tenerife	01/2021	Personas beneficiarias	87157			
Santa Cruz de Tenerife	01/2021	Tasa de cobertura de la prestación de desempleo	70.8			
Santa Cruz de Tenerife	01/2021	Paro resgistrado con experiencia laboral	123147			
Canary Islands	2020	Personas beneficiarias	224220			
Canary Islands	2020	Tasa de cobertura de la prestación de desempleo	97.1			
Canary Islands	2020	Paro resgistrado con experiencia laboral	230929			
Las Palmas	2020	Personas beneficiarias	120301			
Las Palmas	2020	Tasa de cobertura de la prestación de desempleo	99.8			
Las Palmas	2020	Paro resgistrado con experiencia laboral	120577			
Santa Cruz de Tenerife	2020	Personas beneficiarias	103919			
Santa Cruz de Tenerife	2020	Tasa de cobertura de la prestación de desempleo	94.2			
Santa Cruz de Tenerife	2020	Paro resgistrado con experiencia laboral	110352			
Canary Islands	12/2020	Personas beneficiarias	178656			
Canary Islands	12/2020	Tasa de cobertura de la prestación de desempleo	72.5			
Canary Islands	12/2020	Paro resgistrado con experiencia laboral	246498			
Las Palmas	12/2020	Personas beneficiarias	95044			
Las Palmas	12/2020	Tasa de cobertura de la prestación de desempleo	74.2			
Las Palmas	12/2020	Paro resgistrado con experiencia laboral	128164			
Santa Cruz de Tenerife	12/2020	Personas beneficiarias	83612			
Santa Cruz de Tenerife	12/2020	Tasa de cobertura de la prestación de desempleo	70.7			
Santa Cruz de Tenerife	12/2020	Paro resgistrado con experiencia laboral	118334			
Canary Islands	11/2020	Personas beneficiarias	191625			
Canary Islands	11/2020	Tasa de cobertura de la prestación de desempleo	77.9			
Canary Islands	11/2020	Paro resgistrado con experiencia laboral	245961			
Las Palmas	11/2020	Personas beneficiarias	106621			
Las Palmas	11/2020	Tasa de cobertura de la prestación de desempleo	83.2			
Las Palmas	11/2020	Paro resgistrado con experiencia laboral	128139			
Santa Cruz de Tenerife	11/2020	Personas beneficiarias	85004			
Santa Cruz de Tenerife	11/2020	Tasa de cobertura de la prestación de desempleo	72.1			
Santa Cruz de Tenerife	11/2020	Paro resgistrado con experiencia laboral	117822			
Canary Islands	10/2020	Personas beneficiarias	219342			
Canary Islands	10/2020	Tasa de cobertura de la prestación de desempleo	90.9			
Canary Islands	10/2020	Paro resgistrado con experiencia laboral	241298			
Las Palmas	10/2020	Personas beneficiarias	118285			
Las Palmas	10/2020	Tasa de cobertura de la prestación de desempleo	93.5			
Las Palmas	10/2020	Paro resgistrado con experiencia laboral	126499			
Santa Cruz de Tenerife	10/2020	Personas beneficiarias	101057			
Santa Cruz de Tenerife	10/2020	Tasa de cobertura de la prestación de desempleo	88			
Santa Cruz de Tenerife	10/2020	Paro resgistrado con experiencia laboral	114799			
Canary Islands	09/2020	Personas beneficiarias	212479			
Canary Islands	09/2020	Tasa de cobertura de la prestación de desempleo	90.6			
Canary Islands	09/2020	Paro resgistrado con experiencia laboral	234400			
Las Palmas	09/2020	Personas beneficiarias	114954			
Las Palmas	09/2020	Tasa de cobertura de la prestación de desempleo	93.5			
Las Palmas	09/2020	Paro resgistrado con experiencia laboral	122907			
Santa Cruz de Tenerife	09/2020	Personas beneficiarias	97525			
Santa Cruz de Tenerife	09/2020	Tasa de cobertura de la prestación de desempleo	87.5			
Santa Cruz de Tenerife	09/2020	Paro resgistrado con experiencia laboral	111493			
Canary Islands	08/2020	Personas beneficiarias	239425			
Canary Islands	08/2020	Tasa de cobertura de la prestación de desempleo	100.4			
Canary Islands	08/2020	Paro resgistrado con experiencia laboral	238518			
Las Palmas	08/2020	Personas beneficiarias	128426			
Las Palmas	08/2020	Tasa de cobertura de la prestación de desempleo	102.6			
Las Palmas	08/2020	Paro resgistrado con experiencia laboral	125156			
Santa Cruz de Tenerife	08/2020	Personas beneficiarias	110999			
Santa Cruz de Tenerife	08/2020	Tasa de cobertura de la prestación de desempleo	97.9			
Santa Cruz de Tenerife	08/2020	Paro resgistrado con experiencia laboral	113362			
Canary Islands	07/2020	Personas beneficiarias	270128			
Canary Islands	07/2020	Tasa de cobertura de la prestación de desempleo	112.8			
Canary Islands	07/2020	Paro resgistrado con experiencia laboral	239435			
Las Palmas	07/2020	Personas beneficiarias	146455			
Las Palmas	07/2020	Tasa de cobertura de la prestación de desempleo	116.2			
Las Palmas	07/2020	Paro resgistrado con experiencia laboral	126015			
Santa Cruz de Tenerife	07/2020	Personas beneficiarias	123673			
Santa Cruz de Tenerife	07/2020	Tasa de cobertura de la prestación de desempleo	109			
Santa Cruz de Tenerife	07/2020	Paro resgistrado con experiencia laboral	113420			
Canary Islands	06/2020	Personas beneficiarias	314650			
Canary Islands	06/2020	Tasa de cobertura de la prestación de desempleo	129.2			
Canary Islands	06/2020	Paro resgistrado con experiencia laboral	243528			
Las Palmas	06/2020	Personas beneficiarias	169864			
Las Palmas	06/2020	Tasa de cobertura de la prestación de desempleo	132.8			
Las Palmas	06/2020	Paro resgistrado con experiencia laboral	127948			
Santa Cruz de Tenerife	06/2020	Personas beneficiarias	144786			
Santa Cruz de Tenerife	06/2020	Tasa de cobertura de la prestación de desempleo	125.3			
Santa Cruz de Tenerife	06/2020	Paro resgistrado con experiencia laboral	115580			
Canary Islands	05/2020	Personas beneficiarias	354867			
Canary Islands	05/2020	Tasa de cobertura de la prestación de desempleo	145.4			
Canary Islands	05/2020	Paro resgistrado con experiencia laboral	244044			
Las Palmas	05/2020	Personas beneficiarias	192801			
Las Palmas	05/2020	Tasa de cobertura de la prestación de desempleo	150.8			
Las Palmas	05/2020	Paro resgistrado con experiencia laboral	127855			
Santa Cruz de Tenerife	05/2020	Personas beneficiarias	162066			
Santa Cruz de Tenerife	05/2020	Tasa de cobertura de la prestación de desempleo	139.5			
Santa Cruz de Tenerife	05/2020	Paro resgistrado con experiencia laboral	116189			
Canary Islands	04/2020	Personas beneficiarias	350827			
Canary Islands	04/2020	Tasa de cobertura de la prestación de desempleo	147			
Canary Islands	04/2020	Paro resgistrado con experiencia laboral	238688			
Las Palmas	04/2020	Personas beneficiarias	187958			
Las Palmas	04/2020	Tasa de cobertura de la prestación de desempleo	151.1			
Las Palmas	04/2020	Paro resgistrado con experiencia laboral	124370			
Santa Cruz de Tenerife	04/2020	Personas beneficiarias	162869			
Santa Cruz de Tenerife	04/2020	Tasa de cobertura de la prestación de desempleo	142.5			
Santa Cruz de Tenerife	04/2020	Paro resgistrado con experiencia laboral	114318			
Canary Islands	03/2020	Personas beneficiarias	128033			
Canary Islands	03/2020	Tasa de cobertura de la prestación de desempleo	60.5			
Canary Islands	03/2020	Paro resgistrado con experiencia laboral	211752			
Las Palmas	03/2020	Personas beneficiarias	64582			
Las Palmas	03/2020	Tasa de cobertura de la prestación de desempleo	59.2			
Las Palmas	03/2020	Paro resgistrado con experiencia laboral	109087			
Santa Cruz de Tenerife	03/2020	Personas beneficiarias	63451			
Santa Cruz de Tenerife	03/2020	Tasa de cobertura de la prestación de desempleo	61.8			
Santa Cruz de Tenerife	03/2020	Paro resgistrado con experiencia laboral	102665			
Canary Islands	02/2020	Personas beneficiarias	114858			
Canary Islands	02/2020	Tasa de cobertura de la prestación de desempleo	59.8			
Canary Islands	02/2020	Paro resgistrado con experiencia laboral	192077			
Las Palmas	02/2020	Personas beneficiarias	59168			
Las Palmas	02/2020	Tasa de cobertura de la prestación de desempleo	59.3			
Las Palmas	02/2020	Paro resgistrado con experiencia laboral	99861			
Santa Cruz de Tenerife	02/2020	Personas beneficiarias	55690			
Santa Cruz de Tenerife	02/2020	Tasa de cobertura de la prestación de desempleo	60.4			
Santa Cruz de Tenerife	02/2020	Paro resgistrado con experiencia laboral	92216			
Canary Islands	01/2020	Personas beneficiarias	115748			
Canary Islands	01/2020	Tasa de cobertura de la prestación de desempleo	59.4			
Canary Islands	01/2020	Paro resgistrado con experiencia laboral	194943			
Las Palmas	01/2020	Personas beneficiarias	59456			
Las Palmas	01/2020	Tasa de cobertura de la prestación de desempleo	58.9			
Las Palmas	01/2020	Paro resgistrado con experiencia laboral	100922			
Santa Cruz de Tenerife	01/2020	Personas beneficiarias	56292			
Santa Cruz de Tenerife	01/2020	Tasa de cobertura de la prestación de desempleo	59.9			
Santa Cruz de Tenerife	01/2020	Paro resgistrado con experiencia laboral	94021			
Canary Islands	2019	Personas beneficiarias	110137			
Canary Islands	2019	Tasa de cobertura de la prestación de desempleo	57.9			
Canary Islands	2019	Paro resgistrado con experiencia laboral	190253			
Las Palmas	2019	Personas beneficiarias	57207			
Las Palmas	2019	Tasa de cobertura de la prestación de desempleo	57.6			
Las Palmas	2019	Paro resgistrado con experiencia laboral	99377			
Santa Cruz de Tenerife	2019	Personas beneficiarias	52930			
Santa Cruz de Tenerife	2019	Tasa de cobertura de la prestación de desempleo	58.2			
Santa Cruz de Tenerife	2019	Paro resgistrado con experiencia laboral	90876			
Canary Islands	12/2019	Personas beneficiarias	110446			
Canary Islands	12/2019	Tasa de cobertura de la prestación de desempleo	57.8			
Canary Islands	12/2019	Paro resgistrado con experiencia laboral	190997			
Las Palmas	12/2019	Personas beneficiarias	57198			
Las Palmas	12/2019	Tasa de cobertura de la prestación de desempleo	57.5			
Las Palmas	12/2019	Paro resgistrado con experiencia laboral	99428			
Santa Cruz de Tenerife	12/2019	Personas beneficiarias	53248			
Santa Cruz de Tenerife	12/2019	Tasa de cobertura de la prestación de desempleo	58.2			
Santa Cruz de Tenerife	12/2019	Paro resgistrado con experiencia laboral	91569			
Canary Islands	11/2019	Personas beneficiarias	111289			
Canary Islands	11/2019	Tasa de cobertura de la prestación de desempleo	57.8			
Canary Islands	11/2019	Paro resgistrado con experiencia laboral	192599			
Las Palmas	11/2019	Personas beneficiarias	57260			
Las Palmas	11/2019	Tasa de cobertura de la prestación de desempleo	57.3			
Las Palmas	11/2019	Paro resgistrado con experiencia laboral	99957			
Santa Cruz de Tenerife	11/2019	Personas beneficiarias	54029			
Santa Cruz de Tenerife	11/2019	Tasa de cobertura de la prestación de desempleo	58.3			
Santa Cruz de Tenerife	11/2019	Paro resgistrado con experiencia laboral	92642			
Canary Islands	10/2019	Personas beneficiarias	109668			
Canary Islands	10/2019	Tasa de cobertura de la prestación de desempleo	57.1			
Canary Islands	10/2019	Paro resgistrado con experiencia laboral	192006			
Las Palmas	10/2019	Personas beneficiarias	56043			
Las Palmas	10/2019	Tasa de cobertura de la prestación de desempleo	56.4			
Las Palmas	10/2019	Paro resgistrado con experiencia laboral	99283			
Santa Cruz de Tenerife	10/2019	Personas beneficiarias	53625			
Santa Cruz de Tenerife	10/2019	Tasa de cobertura de la prestación de desempleo	57.8			
Santa Cruz de Tenerife	10/2019	Paro resgistrado con experiencia laboral	92723			
Canary Islands	09/2019	Personas beneficiarias	106879			
Canary Islands	09/2019	Tasa de cobertura de la prestación de desempleo	57			
Canary Islands	09/2019	Paro resgistrado con experiencia laboral	187526			
Las Palmas	09/2019	Personas beneficiarias	54917			
Las Palmas	09/2019	Tasa de cobertura de la prestación de desempleo	56.5			
Las Palmas	09/2019	Paro resgistrado con experiencia laboral	97232			
Santa Cruz de Tenerife	09/2019	Personas beneficiarias	51962			
Santa Cruz de Tenerife	09/2019	Tasa de cobertura de la prestación de desempleo	57.5			
Santa Cruz de Tenerife	09/2019	Paro resgistrado con experiencia laboral	90294			
Canary Islands	08/2019	Personas beneficiarias	117828			
Canary Islands	08/2019	Tasa de cobertura de la prestación de desempleo	62.2			
Canary Islands	08/2019	Paro resgistrado con experiencia laboral	189446			
Las Palmas	08/2019	Personas beneficiarias	61683			
Las Palmas	08/2019	Tasa de cobertura de la prestación de desempleo	62.5			
Las Palmas	08/2019	Paro resgistrado con experiencia laboral	98764			
Santa Cruz de Tenerife	08/2019	Personas beneficiarias	56145			
Santa Cruz de Tenerife	08/2019	Tasa de cobertura de la prestación de desempleo	61.9			
Santa Cruz de Tenerife	08/2019	Paro resgistrado con experiencia laboral	90682			
Canary Islands	07/2019	Personas beneficiarias	117962			
Canary Islands	07/2019	Tasa de cobertura de la prestación de desempleo	62.5			
Canary Islands	07/2019	Paro resgistrado con experiencia laboral	188799			
Las Palmas	07/2019	Personas beneficiarias	61809			
Las Palmas	07/2019	Tasa de cobertura de la prestación de desempleo	62.8			
Las Palmas	07/2019	Paro resgistrado con experiencia laboral	98428			
Santa Cruz de Tenerife	07/2019	Personas beneficiarias	56153			
Santa Cruz de Tenerife	07/2019	Tasa de cobertura de la prestación de desempleo	62.1			
Santa Cruz de Tenerife	07/2019	Paro resgistrado con experiencia laboral	90371			
Canary Islands	06/2019	Personas beneficiarias	109899			
Canary Islands	06/2019	Tasa de cobertura de la prestación de desempleo	59			
Canary Islands	06/2019	Paro resgistrado con experiencia laboral	186379			
Las Palmas	06/2019	Personas beneficiarias	57442			
Las Palmas	06/2019	Tasa de cobertura de la prestación de desempleo	58.9			
Las Palmas	06/2019	Paro resgistrado con experiencia laboral	97577			
Santa Cruz de Tenerife	06/2019	Personas beneficiarias	52457			
Santa Cruz de Tenerife	06/2019	Tasa de cobertura de la prestación de desempleo	59.1			
Santa Cruz de Tenerife	06/2019	Paro resgistrado con experiencia laboral	88802			
Canary Islands	05/2019	Personas beneficiarias	108328			
Canary Islands	05/2019	Tasa de cobertura de la prestación de desempleo	57.3			
Canary Islands	05/2019	Paro resgistrado con experiencia laboral	188909			
Las Palmas	05/2019	Personas beneficiarias	56761			
Las Palmas	05/2019	Tasa de cobertura de la prestación de desempleo	57.1			
Las Palmas	05/2019	Paro resgistrado con experiencia laboral	99326			
Santa Cruz de Tenerife	05/2019	Personas beneficiarias	51567			
Santa Cruz de Tenerife	05/2019	Tasa de cobertura de la prestación de desempleo	57.6			
Santa Cruz de Tenerife	05/2019	Paro resgistrado con experiencia laboral	89583			
Canary Islands	04/2019	Personas beneficiarias	106698			
Canary Islands	04/2019	Tasa de cobertura de la prestación de desempleo	56.1			
Canary Islands	04/2019	Paro resgistrado con experiencia laboral	190296			
Las Palmas	04/2019	Personas beneficiarias	55900			
Las Palmas	04/2019	Tasa de cobertura de la prestación de desempleo	55.6			
Las Palmas	04/2019	Paro resgistrado con experiencia laboral	100499			
Santa Cruz de Tenerife	04/2019	Personas beneficiarias	50798			
Santa Cruz de Tenerife	04/2019	Tasa de cobertura de la prestación de desempleo	56.6			
Santa Cruz de Tenerife	04/2019	Paro resgistrado con experiencia laboral	89797			
Canary Islands	03/2019	Personas beneficiarias	107274			
Canary Islands	03/2019	Tasa de cobertura de la prestación de desempleo	55.9			
Canary Islands	03/2019	Paro resgistrado con experiencia laboral	191771			
Las Palmas	03/2019	Personas beneficiarias	55704			
Las Palmas	03/2019	Tasa de cobertura de la prestación de desempleo	55.2			
Las Palmas	03/2019	Paro resgistrado con experiencia laboral	100835			
Santa Cruz de Tenerife	03/2019	Personas beneficiarias	51570			
Santa Cruz de Tenerife	03/2019	Tasa de cobertura de la prestación de desempleo	56.7			
Santa Cruz de Tenerife	03/2019	Paro resgistrado con experiencia laboral	90936			
Canary Islands	02/2019	Personas beneficiarias	108028			
Canary Islands	02/2019	Tasa de cobertura de la prestación de desempleo	56.2			
Canary Islands	02/2019	Paro resgistrado con experiencia laboral	192121			
Las Palmas	02/2019	Personas beneficiarias	56192			
Las Palmas	02/2019	Tasa de cobertura de la prestación de desempleo	55.7			
Las Palmas	02/2019	Paro resgistrado con experiencia laboral	100917			
Santa Cruz de Tenerife	02/2019	Personas beneficiarias	51836			
Santa Cruz de Tenerife	02/2019	Tasa de cobertura de la prestación de desempleo	56.8			
Santa Cruz de Tenerife	02/2019	Paro resgistrado con experiencia laboral	91204			
Canary Islands	01/2019	Personas beneficiarias	107351			
Canary Islands	01/2019	Tasa de cobertura de la prestación de desempleo	55.9			
Canary Islands	01/2019	Paro resgistrado con experiencia laboral	192193			
Las Palmas	01/2019	Personas beneficiarias	55576			
Las Palmas	01/2019	Tasa de cobertura de la prestación de desempleo	55.4			
Las Palmas	01/2019	Paro resgistrado con experiencia laboral	100278			
Santa Cruz de Tenerife	01/2019	Personas beneficiarias	51775			
Santa Cruz de Tenerife	01/2019	Tasa de cobertura de la prestación de desempleo	56.3			
Santa Cruz de Tenerife	01/2019	Paro resgistrado con experiencia laboral	91915			
Canary Islands	2018	Personas beneficiarias	104391			
Canary Islands	2018	Tasa de cobertura de la prestación de desempleo	54.2			
Canary Islands	2018	Paro resgistrado con experiencia laboral	192541			
Las Palmas	2018	Personas beneficiarias	53788			
Las Palmas	2018	Tasa de cobertura de la prestación de desempleo	53.6			
Las Palmas	2018	Paro resgistrado con experiencia laboral	100411			
Santa Cruz de Tenerife	2018	Personas beneficiarias	50603			
Santa Cruz de Tenerife	2018	Tasa de cobertura de la prestación de desempleo	54.9			
Santa Cruz de Tenerife	2018	Paro resgistrado con experiencia laboral	92130			
Canary Islands	12/2018	Personas beneficiarias	101429			
Canary Islands	12/2018	Tasa de cobertura de la prestación de desempleo	53.7			
Canary Islands	12/2018	Paro resgistrado con experiencia laboral	188724			
Las Palmas	12/2018	Personas beneficiarias	52447			
Las Palmas	12/2018	Tasa de cobertura de la prestación de desempleo	53.3			
Las Palmas	12/2018	Paro resgistrado con experiencia laboral	98417			
Santa Cruz de Tenerife	12/2018	Personas beneficiarias	48982			
Santa Cruz de Tenerife	12/2018	Tasa de cobertura de la prestación de desempleo	54.2			
Santa Cruz de Tenerife	12/2018	Paro resgistrado con experiencia laboral	90307			
Canary Islands	11/2018	Personas beneficiarias	103106			
Canary Islands	11/2018	Tasa de cobertura de la prestación de desempleo	54			
Canary Islands	11/2018	Paro resgistrado con experiencia laboral	191079			
Las Palmas	11/2018	Personas beneficiarias	53107			
Las Palmas	11/2018	Tasa de cobertura de la prestación de desempleo	53.3			
Las Palmas	11/2018	Paro resgistrado con experiencia laboral	99563			
Santa Cruz de Tenerife	11/2018	Personas beneficiarias	49999			
Santa Cruz de Tenerife	11/2018	Tasa de cobertura de la prestación de desempleo	54.6			
Santa Cruz de Tenerife	11/2018	Paro resgistrado con experiencia laboral	91516			
Canary Islands	10/2018	Personas beneficiarias	99782			
Canary Islands	10/2018	Tasa de cobertura de la prestación de desempleo	52.6			
Canary Islands	10/2018	Paro resgistrado con experiencia laboral	189579			
Las Palmas	10/2018	Personas beneficiarias	51365			
Las Palmas	10/2018	Tasa de cobertura de la prestación de desempleo	52			
Las Palmas	10/2018	Paro resgistrado con experiencia laboral	98726			
Santa Cruz de Tenerife	10/2018	Personas beneficiarias	48417			
Santa Cruz de Tenerife	10/2018	Tasa de cobertura de la prestación de desempleo	53.3			
Santa Cruz de Tenerife	10/2018	Paro resgistrado con experiencia laboral	90853			
Canary Islands	09/2018	Personas beneficiarias	99138			
Canary Islands	09/2018	Tasa de cobertura de la prestación de desempleo	52.8			
Canary Islands	09/2018	Paro resgistrado con experiencia laboral	187867			
Las Palmas	09/2018	Personas beneficiarias	51136			
Las Palmas	09/2018	Tasa de cobertura de la prestación de desempleo	52.2			
Las Palmas	09/2018	Paro resgistrado con experiencia laboral	98019			
Santa Cruz de Tenerife	09/2018	Personas beneficiarias	48002			
Santa Cruz de Tenerife	09/2018	Tasa de cobertura de la prestación de desempleo	53.4			
Santa Cruz de Tenerife	09/2018	Paro resgistrado con experiencia laboral	89848			
Canary Islands	08/2018	Personas beneficiarias	109909			
Canary Islands	08/2018	Tasa de cobertura de la prestación de desempleo	57.7			
Canary Islands	08/2018	Paro resgistrado con experiencia laboral	190445			
Las Palmas	08/2018	Personas beneficiarias	57010			
Las Palmas	08/2018	Tasa de cobertura de la prestación de desempleo	57.5			
Las Palmas	08/2018	Paro resgistrado con experiencia laboral	99166			
Santa Cruz de Tenerife	08/2018	Personas beneficiarias	52899			
Santa Cruz de Tenerife	08/2018	Tasa de cobertura de la prestación de desempleo	58			
Santa Cruz de Tenerife	08/2018	Paro resgistrado con experiencia laboral	91279			
Canary Islands	07/2018	Personas beneficiarias	108250			
Canary Islands	07/2018	Tasa de cobertura de la prestación de desempleo	56.9			
Canary Islands	07/2018	Paro resgistrado con experiencia laboral	190226			
Las Palmas	07/2018	Personas beneficiarias	56590			
Las Palmas	07/2018	Tasa de cobertura de la prestación de desempleo	57.1			
Las Palmas	07/2018	Paro resgistrado con experiencia laboral	99074			
Santa Cruz de Tenerife	07/2018	Personas beneficiarias	51660			
Santa Cruz de Tenerife	07/2018	Tasa de cobertura de la prestación de desempleo	56.7			
Santa Cruz de Tenerife	07/2018	Paro resgistrado con experiencia laboral	91152			
Canary Islands	06/2018	Personas beneficiarias	105333			
Canary Islands	06/2018	Tasa de cobertura de la prestación de desempleo	55			
Canary Islands	06/2018	Paro resgistrado con experiencia laboral	191471			
Las Palmas	06/2018	Personas beneficiarias	54591			
Las Palmas	06/2018	Tasa de cobertura de la prestación de desempleo	54.7			
Las Palmas	06/2018	Paro resgistrado con experiencia laboral	99874			
Santa Cruz de Tenerife	06/2018	Personas beneficiarias	50742			
Santa Cruz de Tenerife	06/2018	Tasa de cobertura de la prestación de desempleo	55.4			
Santa Cruz de Tenerife	06/2018	Paro resgistrado con experiencia laboral	91597			
Canary Islands	05/2018	Personas beneficiarias	104477			
Canary Islands	05/2018	Tasa de cobertura de la prestación de desempleo	53.7			
Canary Islands	05/2018	Paro resgistrado con experiencia laboral	194434			
Las Palmas	05/2018	Personas beneficiarias	53912			
Las Palmas	05/2018	Tasa de cobertura de la prestación de desempleo	53.2			
Las Palmas	05/2018	Paro resgistrado con experiencia laboral	101431			
Santa Cruz de Tenerife	05/2018	Personas beneficiarias	50565			
Santa Cruz de Tenerife	05/2018	Tasa de cobertura de la prestación de desempleo	54.4			
Santa Cruz de Tenerife	05/2018	Paro resgistrado con experiencia laboral	93003			
Canary Islands	04/2018	Personas beneficiarias	104147			
Canary Islands	04/2018	Tasa de cobertura de la prestación de desempleo	53.4			
Canary Islands	04/2018	Paro resgistrado con experiencia laboral	195138			
Las Palmas	04/2018	Personas beneficiarias	53403			
Las Palmas	04/2018	Tasa de cobertura de la prestación de desempleo	52.4			
Las Palmas	04/2018	Paro resgistrado con experiencia laboral	101971			
Santa Cruz de Tenerife	04/2018	Personas beneficiarias	50744			
Santa Cruz de Tenerife	04/2018	Tasa de cobertura de la prestación de desempleo	54.5			
Santa Cruz de Tenerife	04/2018	Paro resgistrado con experiencia laboral	93167			
Canary Islands	03/2018	Personas beneficiarias	104681			
Canary Islands	03/2018	Tasa de cobertura de la prestación de desempleo	53.4			
Canary Islands	03/2018	Paro resgistrado con experiencia laboral	196006			
Las Palmas	03/2018	Personas beneficiarias	53242			
Las Palmas	03/2018	Tasa de cobertura de la prestación de desempleo	52.1			
Las Palmas	03/2018	Paro resgistrado con experiencia laboral	102177			
Santa Cruz de Tenerife	03/2018	Personas beneficiarias	51439			
Santa Cruz de Tenerife	03/2018	Tasa de cobertura de la prestación de desempleo	54.8			
Santa Cruz de Tenerife	03/2018	Paro resgistrado con experiencia laboral	93829			
Canary Islands	02/2018	Personas beneficiarias	106158			
Canary Islands	02/2018	Tasa de cobertura de la prestación de desempleo	53.7			
Canary Islands	02/2018	Paro resgistrado con experiencia laboral	197513			
Las Palmas	02/2018	Personas beneficiarias	54163			
Las Palmas	02/2018	Tasa de cobertura de la prestación de desempleo	52.6			
Las Palmas	02/2018	Paro resgistrado con experiencia laboral	103020			
Santa Cruz de Tenerife	02/2018	Personas beneficiarias	51995			
Santa Cruz de Tenerife	02/2018	Tasa de cobertura de la prestación de desempleo	55			
Santa Cruz de Tenerife	02/2018	Paro resgistrado con experiencia laboral	94493			
Canary Islands	01/2018	Personas beneficiarias	106282			
Canary Islands	01/2018	Tasa de cobertura de la prestación de desempleo	53.7			
Canary Islands	01/2018	Paro resgistrado con experiencia laboral	198013			
Las Palmas	01/2018	Personas beneficiarias	54493			
Las Palmas	01/2018	Tasa de cobertura de la prestación de desempleo	52.7			
Las Palmas	01/2018	Paro resgistrado con experiencia laboral	103493			
Santa Cruz de Tenerife	01/2018	Personas beneficiarias	51789			
Santa Cruz de Tenerife	01/2018	Tasa de cobertura de la prestación de desempleo	54.8			
Santa Cruz de Tenerife	01/2018	Paro resgistrado con experiencia laboral	94520			
Canary Islands	2017	Personas beneficiarias	106133			
Canary Islands	2017	Tasa de cobertura de la prestación de desempleo	52			
Canary Islands	2017	Paro resgistrado con experiencia laboral	204178			
Las Palmas	2017	Personas beneficiarias	54719			
Las Palmas	2017	Tasa de cobertura de la prestación de desempleo	51.1			
Las Palmas	2017	Paro resgistrado con experiencia laboral	107098			
Santa Cruz de Tenerife	2017	Personas beneficiarias	51414			
Santa Cruz de Tenerife	2017	Tasa de cobertura de la prestación de desempleo	53			
Santa Cruz de Tenerife	2017	Paro resgistrado con experiencia laboral	97080			
Canary Islands	12/2017	Personas beneficiarias	103698			
Canary Islands	12/2017	Tasa de cobertura de la prestación de desempleo	52.5			
Canary Islands	12/2017	Paro resgistrado con experiencia laboral	197550			
Las Palmas	12/2017	Personas beneficiarias	53126			
Las Palmas	12/2017	Tasa de cobertura de la prestación de desempleo	51.6			
Las Palmas	12/2017	Paro resgistrado con experiencia laboral	102988			
Santa Cruz de Tenerife	12/2017	Personas beneficiarias	50572			
Santa Cruz de Tenerife	12/2017	Tasa de cobertura de la prestación de desempleo	53.5			
Santa Cruz de Tenerife	12/2017	Paro resgistrado con experiencia laboral	94562			
Canary Islands	11/2017	Personas beneficiarias	104265			
Canary Islands	11/2017	Tasa de cobertura de la prestación de desempleo	52.1			
Canary Islands	11/2017	Paro resgistrado con experiencia laboral	200208			
Las Palmas	11/2017	Personas beneficiarias	53091			
Las Palmas	11/2017	Tasa de cobertura de la prestación de desempleo	50.9			
Las Palmas	11/2017	Paro resgistrado con experiencia laboral	104384			
Santa Cruz de Tenerife	11/2017	Personas beneficiarias	51174			
Santa Cruz de Tenerife	11/2017	Tasa de cobertura de la prestación de desempleo	53.4			
Santa Cruz de Tenerife	11/2017	Paro resgistrado con experiencia laboral	95824			
Canary Islands	10/2017	Personas beneficiarias	101138			
Canary Islands	10/2017	Tasa de cobertura de la prestación de desempleo	50.5			
Canary Islands	10/2017	Paro resgistrado con experiencia laboral	200212			
Las Palmas	10/2017	Personas beneficiarias	51865			
Las Palmas	10/2017	Tasa de cobertura de la prestación de desempleo	49.5			
Las Palmas	10/2017	Paro resgistrado con experiencia laboral	104767			
Santa Cruz de Tenerife	10/2017	Personas beneficiarias	49273			
Santa Cruz de Tenerife	10/2017	Tasa de cobertura de la prestación de desempleo	51.6			
Santa Cruz de Tenerife	10/2017	Paro resgistrado con experiencia laboral	95445			
Canary Islands	09/2017	Personas beneficiarias	99519			
Canary Islands	09/2017	Tasa de cobertura de la prestación de desempleo	50.3			
Canary Islands	09/2017	Paro resgistrado con experiencia laboral	197936			
